Tahun,#Mobil
1996-12-31,67910
1997-12-31,74718
1998-12-31,85782
1999-12-31,93621
2000-12-31,104824
2001-12-31,115139
2002-12-31,118080
2003-12-31,120222
2004-12-31,128141
2005-12-31,141800
2006-12-31,141949
2007-12-31,148885
2008-12-31,158743
2009-12-31,168863
2010-12-31,196911
2011-12-31,245462
2012-12-31,267068
2013-12-31,296403
2014-12-31,326180
2015-12-31,350351
2016-12-31,371972
2017-12-31,396680
2018-12-31,422838
2019-12-31,449541
2020-12-31,460909
2021-12-31,465282
